input,intent,response
yo good job,compliment,Thank you! I appreciate the positive feedback.
hey what are your features,capabilities,I can answer questions and chat with you.
well see you,farewell,Goodbye! Have a wonderful day.
ok i love you mam,love,That is very kind of you to say!
yo how is it going actually,wellbeing,I'm functioning perfectly. How can I help you?
actually i dont understand,confusion,I apologize. Let me try to be clearer.
umm what's up,wellbeing,I'm functioning perfectly. How can I help you?
you are stupid friend,insult,I apologize if I disappointed you. I am still learning.
cya today,farewell,Goodbye! Have a wonderful day.
hey thank you,gratitude,You are very welcome!
actually good job,compliment,Thank you! I appreciate the positive feedback.
hey you suck,insult,I apologize if I disappointed you. I am still learning.
i dont understand actually,confusion,I apologize. Let me try to be clearer.
hey are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
are you a bot buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
who are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually good evening mam,greeting,Hello! How can I help you today?
well you are stupid,insult,I apologize if I disappointed you. I am still learning.
so introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok i am confused,confusion,I apologize. Let me try to be clearer.
see you actually,farewell,Goodbye! Have a wonderful day.
well done today,compliment,Thank you! I appreciate the positive feedback.
how do you work today,capabilities,I can answer questions and chat with you.
i love you friend,love,That is very kind of you to say!
umm thx friend,gratitude,You are very welcome!
please good morning,greeting,Hello! How can I help you today?
bye now,farewell,Goodbye! Have a wonderful day.
actually i have to go bot,farewell,Goodbye! Have a wonderful day.
actually you are amazing,compliment,Thank you! I appreciate the positive feedback.
umm appreciate it,gratitude,You are very welcome!
ok i am confused,confusion,I apologize. Let me try to be clearer.
so what do you mean bot,confusion,I apologize. Let me try to be clearer.
ok thanks a lot,gratitude,You are very welcome!
please thank you actually,gratitude,You are very welcome!
umm how are you,wellbeing,I'm functioning perfectly. How can I help you?
hey i have to go,farewell,Goodbye! Have a wonderful day.
actually you suck,insult,I apologize if I disappointed you. I am still learning.
well i like you today,love,That is very kind of you to say!
hey greetings,greeting,Hello! How can I help you today?
actually thanks a lot,gratitude,You are very welcome!
what can you do buddy,capabilities,I can answer questions and chat with you.
yo useless friend,insult,I apologize if I disappointed you. I am still learning.
you are smart bot,compliment,Thank you! I appreciate the positive feedback.
so i like you bot,love,That is very kind of you to say!
well done bot,compliment,Thank you! I appreciate the positive feedback.
so how do you work,capabilities,I can answer questions and chat with you.
yo i love you,love,That is very kind of you to say!
listen good job friend,compliment,Thank you! I appreciate the positive feedback.
bad bot mam,insult,I apologize if I disappointed you. I am still learning.
ok how are you now,wellbeing,I'm functioning perfectly. How can I help you?
what are your features mam,capabilities,I can answer questions and chat with you.
ok how do you feel buddy,wellbeing,I'm functioning perfectly. How can I help you?
ok can you explain,confusion,I apologize. Let me try to be clearer.
ok what is your name mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please what are you friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen i like you today,love,That is very kind of you to say!
well how do you feel now,wellbeing,I'm functioning perfectly. How can I help you?
listen how is it going mam,wellbeing,I'm functioning perfectly. How can I help you?
please what do you mean mam,confusion,I apologize. Let me try to be clearer.
who are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
thx now,gratitude,You are very welcome!
listen hello,greeting,Hello! How can I help you today?
what do you mean friend,confusion,I apologize. Let me try to be clearer.
will you marry me friend,love,That is very kind of you to say!
so thank you,gratitude,You are very welcome!
listen you are stupid today,insult,I apologize if I disappointed you. I am still learning.
actually i dont understand,confusion,I apologize. Let me try to be clearer.
so hey there,greeting,Hello! How can I help you today?
ok you are dumb,insult,I apologize if I disappointed you. I am still learning.
listen how do you work,capabilities,I can answer questions and chat with you.
listen cya,farewell,Goodbye! Have a wonderful day.
you are dumb now,insult,I apologize if I disappointed you. I am still learning.
listen what are you sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo i am confused,confusion,I apologize. Let me try to be clearer.
can you explain friend,confusion,I apologize. Let me try to be clearer.
actually see you bot,farewell,Goodbye! Have a wonderful day.
so are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo i am confused friend,confusion,I apologize. Let me try to be clearer.
who are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey you are amazing,compliment,Thank you! I appreciate the positive feedback.
how are things please,wellbeing,I'm functioning perfectly. How can I help you?
see you sir,farewell,Goodbye! Have a wonderful day.
ok what are you please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
are you a bot buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo what can you do sir,capabilities,I can answer questions and chat with you.
ok you are cute,love,That is very kind of you to say!
yo hey there friend,greeting,Hello! How can I help you today?
umm i dont understand mam,confusion,I apologize. Let me try to be clearer.
ok what are your features now,capabilities,I can answer questions and chat with you.
actually introduce yourself bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen i like you,love,That is very kind of you to say!
appreciate it buddy,gratitude,You are very welcome!
hey how are you friend,wellbeing,I'm functioning perfectly. How can I help you?
umm good evening friend,greeting,Hello! How can I help you today?
listen good night actually,farewell,Goodbye! Have a wonderful day.
well bye,farewell,Goodbye! Have a wonderful day.
umm hi there sir,greeting,Hello! How can I help you today?
hey cya,farewell,Goodbye! Have a wonderful day.
you are dumb please,insult,I apologize if I disappointed you. I am still learning.
ok bye actually,farewell,Goodbye! Have a wonderful day.
well talk to you later,farewell,Goodbye! Have a wonderful day.
ok what's up,wellbeing,I'm functioning perfectly. How can I help you?
umm thanks,gratitude,You are very welcome!
how do you feel friend,wellbeing,I'm functioning perfectly. How can I help you?
who are you sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what can you do actually,capabilities,I can answer questions and chat with you.
listen goodbye actually,farewell,Goodbye! Have a wonderful day.
well help me,capabilities,I can answer questions and chat with you.
yo i have to go sir,farewell,Goodbye! Have a wonderful day.
thanks a lot today,gratitude,You are very welcome!
actually what are your features,capabilities,I can answer questions and chat with you.
ok good job,compliment,Thank you! I appreciate the positive feedback.
yo see you,farewell,Goodbye! Have a wonderful day.
help me actually,capabilities,I can answer questions and chat with you.
listen you are cute,love,That is very kind of you to say!
useless buddy,insult,I apologize if I disappointed you. I am still learning.
actually how are things,wellbeing,I'm functioning perfectly. How can I help you?
please will you marry me,love,That is very kind of you to say!
i love you please,love,That is very kind of you to say!
how are you now,wellbeing,I'm functioning perfectly. How can I help you?
so hello buddy,greeting,Hello! How can I help you today?
please i like you mam,love,That is very kind of you to say!
actually bad bot today,insult,I apologize if I disappointed you. I am still learning.
good evening friend,greeting,Hello! How can I help you today?
thanks a lot today,gratitude,You are very welcome!
you suck today,insult,I apologize if I disappointed you. I am still learning.
actually what can you do,capabilities,I can answer questions and chat with you.
hey mam,greeting,Hello! How can I help you today?
what's up now,wellbeing,I'm functioning perfectly. How can I help you?
actually you are smart,compliment,Thank you! I appreciate the positive feedback.
hey there sir,greeting,Hello! How can I help you today?
please can you explain,confusion,I apologize. Let me try to be clearer.
hey you suck,insult,I apologize if I disappointed you. I am still learning.
what can you do please,capabilities,I can answer questions and chat with you.
what are you friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are cute friend,love,That is very kind of you to say!
umm thx buddy,gratitude,You are very welcome!
you are cute now,love,That is very kind of you to say!
please see you sir,farewell,Goodbye! Have a wonderful day.
actually what are your features,capabilities,I can answer questions and chat with you.
ok thx,gratitude,You are very welcome!
goodbye bot,farewell,Goodbye! Have a wonderful day.
please will you marry me,love,That is very kind of you to say!
actually i dont understand,confusion,I apologize. Let me try to be clearer.
ok bye sir,farewell,Goodbye! Have a wonderful day.
so you are smart please,compliment,Thank you! I appreciate the positive feedback.
cya now,farewell,Goodbye! Have a wonderful day.
please introduce yourself bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well hi,greeting,Hello! How can I help you today?
umm hey there friend,greeting,Hello! How can I help you today?
well done bot,compliment,Thank you! I appreciate the positive feedback.
good night buddy,farewell,Goodbye! Have a wonderful day.
umm you suck,insult,I apologize if I disappointed you. I am still learning.
ok nice work actually,compliment,Thank you! I appreciate the positive feedback.
well good job,compliment,Thank you! I appreciate the positive feedback.
i am confused bot,confusion,I apologize. Let me try to be clearer.
yo goodbye,farewell,Goodbye! Have a wonderful day.
ok who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey how are things,wellbeing,I'm functioning perfectly. How can I help you?
how do you feel actually,wellbeing,I'm functioning perfectly. How can I help you?
thx mam,gratitude,You are very welcome!
actually what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually good morning bot,greeting,Hello! How can I help you today?
listen goodbye,farewell,Goodbye! Have a wonderful day.
how do you work today,capabilities,I can answer questions and chat with you.
how is it going friend,wellbeing,I'm functioning perfectly. How can I help you?
so how do you feel buddy,wellbeing,I'm functioning perfectly. How can I help you?
hey how are you buddy,wellbeing,I'm functioning perfectly. How can I help you?
bad bot now,insult,I apologize if I disappointed you. I am still learning.
actually well done today,compliment,Thank you! I appreciate the positive feedback.
so good evening,greeting,Hello! How can I help you today?
well you are stupid actually,insult,I apologize if I disappointed you. I am still learning.
well well done,compliment,Thank you! I appreciate the positive feedback.
umm cya,farewell,Goodbye! Have a wonderful day.
cya buddy,farewell,Goodbye! Have a wonderful day.
hi there mam,greeting,Hello! How can I help you today?
can you explain now,confusion,I apologize. Let me try to be clearer.
good job bot,compliment,Thank you! I appreciate the positive feedback.
actually can you explain please,confusion,I apologize. Let me try to be clearer.
are you a bot sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please introduce yourself actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
will you marry me sir,love,That is very kind of you to say!
so will you marry me,love,That is very kind of you to say!
well goodbye,farewell,Goodbye! Have a wonderful day.
actually i dont understand today,confusion,I apologize. Let me try to be clearer.
hey you are amazing sir,compliment,Thank you! I appreciate the positive feedback.
hello bot,greeting,Hello! How can I help you today?
how do you work today,capabilities,I can answer questions and chat with you.
what can you do please,capabilities,I can answer questions and chat with you.
actually what do you mean friend,confusion,I apologize. Let me try to be clearer.
thank you mam,gratitude,You are very welcome!
hey how are you now,wellbeing,I'm functioning perfectly. How can I help you?
listen what can you do today,capabilities,I can answer questions and chat with you.
well thank you,gratitude,You are very welcome!
well i am confused mam,confusion,I apologize. Let me try to be clearer.
you are cute today,love,That is very kind of you to say!
i love you mam,love,That is very kind of you to say!
actually who are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well done please,compliment,Thank you! I appreciate the positive feedback.
yo i like you buddy,love,That is very kind of you to say!
umm hey actually,greeting,Hello! How can I help you today?
hi mam,greeting,Hello! How can I help you today?
actually introduce yourself mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please good morning,greeting,Hello! How can I help you today?
i dont understand bot,confusion,I apologize. Let me try to be clearer.
listen you are stupid,insult,I apologize if I disappointed you. I am still learning.
so how are you now,wellbeing,I'm functioning perfectly. How can I help you?
hey hi there bot,greeting,Hello! How can I help you today?
please cya,farewell,Goodbye! Have a wonderful day.
listen what are your features today,capabilities,I can answer questions and chat with you.
actually thanks,gratitude,You are very welcome!
well you are dumb sir,insult,I apologize if I disappointed you. I am still learning.
yo well done,compliment,Thank you! I appreciate the positive feedback.
you are stupid please,insult,I apologize if I disappointed you. I am still learning.
umm will you marry me friend,love,That is very kind of you to say!
well i love you,love,That is very kind of you to say!
how is it going actually,wellbeing,I'm functioning perfectly. How can I help you?
i am confused actually,confusion,I apologize. Let me try to be clearer.
yo what are your features now,capabilities,I can answer questions and chat with you.
listen you are amazing,compliment,Thank you! I appreciate the positive feedback.
can you explain today,confusion,I apologize. Let me try to be clearer.
well i like you,love,That is very kind of you to say!
i love you now,love,That is very kind of you to say!
bye please,farewell,Goodbye! Have a wonderful day.
well good night sir,farewell,Goodbye! Have a wonderful day.
so goodbye friend,farewell,Goodbye! Have a wonderful day.
how do you work now,capabilities,I can answer questions and chat with you.
see you actually,farewell,Goodbye! Have a wonderful day.
so good night sir,farewell,Goodbye! Have a wonderful day.
please thanks now,gratitude,You are very welcome!
please nice work,compliment,Thank you! I appreciate the positive feedback.
ok what can you do,capabilities,I can answer questions and chat with you.
ok hey,greeting,Hello! How can I help you today?
umm thanks a lot sir,gratitude,You are very welcome!
hey help me sir,capabilities,I can answer questions and chat with you.
thanks sir,gratitude,You are very welcome!
yo thanks a lot,gratitude,You are very welcome!
listen good night buddy,farewell,Goodbye! Have a wonderful day.
so what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually hi there,greeting,Hello! How can I help you today?
listen talk to you later mam,farewell,Goodbye! Have a wonderful day.
actually thanks a lot mam,gratitude,You are very welcome!
listen useless,insult,I apologize if I disappointed you. I am still learning.
umm goodbye,farewell,Goodbye! Have a wonderful day.
i love you now,love,That is very kind of you to say!
hello please,greeting,Hello! How can I help you today?
yo greetings now,greeting,Hello! How can I help you today?
you are dumb sir,insult,I apologize if I disappointed you. I am still learning.
please thank you,gratitude,You are very welcome!
i love you friend,love,That is very kind of you to say!
actually how are things sir,wellbeing,I'm functioning perfectly. How can I help you?
help me buddy,capabilities,I can answer questions and chat with you.
please hi there,greeting,Hello! How can I help you today?
well talk to you later mam,farewell,Goodbye! Have a wonderful day.
listen thanks,gratitude,You are very welcome!
umm hi,greeting,Hello! How can I help you today?
ok what do you mean,confusion,I apologize. Let me try to be clearer.
i dont understand now,confusion,I apologize. Let me try to be clearer.
listen i like you friend,love,That is very kind of you to say!
i dont understand actually,confusion,I apologize. Let me try to be clearer.
hey useless sir,insult,I apologize if I disappointed you. I am still learning.
goodbye buddy,farewell,Goodbye! Have a wonderful day.
you are dumb now,insult,I apologize if I disappointed you. I am still learning.
yo nice work,compliment,Thank you! I appreciate the positive feedback.
please appreciate it,gratitude,You are very welcome!
umm useless,insult,I apologize if I disappointed you. I am still learning.
are you a bot sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please how do you feel sir,wellbeing,I'm functioning perfectly. How can I help you?
listen talk to you later sir,farewell,Goodbye! Have a wonderful day.
so what's up,wellbeing,I'm functioning perfectly. How can I help you?
bye please,farewell,Goodbye! Have a wonderful day.
can you explain bot,confusion,I apologize. Let me try to be clearer.
listen help me buddy,capabilities,I can answer questions and chat with you.
yo introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen what's up,wellbeing,I'm functioning perfectly. How can I help you?
actually goodbye buddy,farewell,Goodbye! Have a wonderful day.
you are dumb please,insult,I apologize if I disappointed you. I am still learning.
ok goodbye,farewell,Goodbye! Have a wonderful day.
good evening sir,greeting,Hello! How can I help you today?
help me please,capabilities,I can answer questions and chat with you.
hey nice work sir,compliment,Thank you! I appreciate the positive feedback.
hey can you explain,confusion,I apologize. Let me try to be clearer.
umm hi bot,greeting,Hello! How can I help you today?
well thanks please,gratitude,You are very welcome!
well done please,compliment,Thank you! I appreciate the positive feedback.
who are you today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey what are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually bye,farewell,Goodbye! Have a wonderful day.
greetings sir,greeting,Hello! How can I help you today?
what do you mean buddy,confusion,I apologize. Let me try to be clearer.
bad bot sir,insult,I apologize if I disappointed you. I am still learning.
ok bye bot,farewell,Goodbye! Have a wonderful day.
you are stupid actually,insult,I apologize if I disappointed you. I am still learning.
you suck please,insult,I apologize if I disappointed you. I am still learning.
are you a bot mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so thank you now,gratitude,You are very welcome!
listen you are stupid sir,insult,I apologize if I disappointed you. I am still learning.
will you marry me mam,love,That is very kind of you to say!
umm thank you actually,gratitude,You are very welcome!
well i like you,love,That is very kind of you to say!
yo who are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo cya,farewell,Goodbye! Have a wonderful day.
so what are your features,capabilities,I can answer questions and chat with you.
how are you buddy,wellbeing,I'm functioning perfectly. How can I help you?
what are your features mam,capabilities,I can answer questions and chat with you.
you are smart please,compliment,Thank you! I appreciate the positive feedback.
so you are amazing bot,compliment,Thank you! I appreciate the positive feedback.
well done bot,compliment,Thank you! I appreciate the positive feedback.
i love you today,love,That is very kind of you to say!
i am confused buddy,confusion,I apologize. Let me try to be clearer.
yo hi sir,greeting,Hello! How can I help you today?
please goodbye,farewell,Goodbye! Have a wonderful day.
please you are dumb,insult,I apologize if I disappointed you. I am still learning.
what's up please,wellbeing,I'm functioning perfectly. How can I help you?
what do you mean mam,confusion,I apologize. Let me try to be clearer.
good evening mam,greeting,Hello! How can I help you today?
so i dont understand,confusion,I apologize. Let me try to be clearer.
ok how are things mam,wellbeing,I'm functioning perfectly. How can I help you?
you are amazing actually,compliment,Thank you! I appreciate the positive feedback.
see you sir,farewell,Goodbye! Have a wonderful day.
what do you mean buddy,confusion,I apologize. Let me try to be clearer.
what are your features bot,capabilities,I can answer questions and chat with you.
hey i am confused,confusion,I apologize. Let me try to be clearer.
what are you sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
will you marry me please,love,That is very kind of you to say!
i love you mam,love,That is very kind of you to say!
hey what are your features,capabilities,I can answer questions and chat with you.
well thanks,gratitude,You are very welcome!
actually how are you sir,wellbeing,I'm functioning perfectly. How can I help you?
what is your name today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are cute buddy,love,That is very kind of you to say!
listen i like you please,love,That is very kind of you to say!
how are you sir,wellbeing,I'm functioning perfectly. How can I help you?
ok i am confused,confusion,I apologize. Let me try to be clearer.
you are smart buddy,compliment,Thank you! I appreciate the positive feedback.
so appreciate it actually,gratitude,You are very welcome!
well thx,gratitude,You are very welcome!
umm how do you work mam,capabilities,I can answer questions and chat with you.
cya mam,farewell,Goodbye! Have a wonderful day.
listen you are cute,love,That is very kind of you to say!
umm i have to go,farewell,Goodbye! Have a wonderful day.
i dont understand mam,confusion,I apologize. Let me try to be clearer.
ok useless now,insult,I apologize if I disappointed you. I am still learning.
hey i love you,love,That is very kind of you to say!
how is it going bot,wellbeing,I'm functioning perfectly. How can I help you?
ok what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how do you work please,capabilities,I can answer questions and chat with you.
hey nice work,compliment,Thank you! I appreciate the positive feedback.
well who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo thanks buddy,gratitude,You are very welcome!
yo how are things mam,wellbeing,I'm functioning perfectly. How can I help you?
help me bot,capabilities,I can answer questions and chat with you.
appreciate it please,gratitude,You are very welcome!
please i love you,love,That is very kind of you to say!
listen bye today,farewell,Goodbye! Have a wonderful day.
greetings bot,greeting,Hello! How can I help you today?
what's up sir,wellbeing,I'm functioning perfectly. How can I help you?
umm introduce yourself mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo good job today,compliment,Thank you! I appreciate the positive feedback.
how do you work bot,capabilities,I can answer questions and chat with you.
well done friend,compliment,Thank you! I appreciate the positive feedback.
well what can you do,capabilities,I can answer questions and chat with you.
umm good evening bot,greeting,Hello! How can I help you today?
actually good night,farewell,Goodbye! Have a wonderful day.
actually how do you work buddy,capabilities,I can answer questions and chat with you.
umm good job,compliment,Thank you! I appreciate the positive feedback.
how is it going now,wellbeing,I'm functioning perfectly. How can I help you?
good evening now,greeting,Hello! How can I help you today?
well what's up,wellbeing,I'm functioning perfectly. How can I help you?
ok you are cute now,love,That is very kind of you to say!
actually you are amazing today,compliment,Thank you! I appreciate the positive feedback.
so hi,greeting,Hello! How can I help you today?
yo nice work,compliment,Thank you! I appreciate the positive feedback.
i am confused mam,confusion,I apologize. Let me try to be clearer.
actually you are amazing buddy,compliment,Thank you! I appreciate the positive feedback.
listen what's up mam,wellbeing,I'm functioning perfectly. How can I help you?
useless friend,insult,I apologize if I disappointed you. I am still learning.
well what do you mean sir,confusion,I apologize. Let me try to be clearer.
please thanks,gratitude,You are very welcome!
i love you sir,love,That is very kind of you to say!
ok good job,compliment,Thank you! I appreciate the positive feedback.
i love you bot,love,That is very kind of you to say!
you suck bot,insult,I apologize if I disappointed you. I am still learning.
what is your name friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please are you a bot mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how is it going please,wellbeing,I'm functioning perfectly. How can I help you?
hey how do you feel friend,wellbeing,I'm functioning perfectly. How can I help you?
thanks sir,gratitude,You are very welcome!
ok how is it going,wellbeing,I'm functioning perfectly. How can I help you?
listen thanks a lot buddy,gratitude,You are very welcome!
nice work buddy,compliment,Thank you! I appreciate the positive feedback.
yo how do you feel,wellbeing,I'm functioning perfectly. How can I help you?
what can you do friend,capabilities,I can answer questions and chat with you.
yo you are amazing,compliment,Thank you! I appreciate the positive feedback.
umm you are cute,love,That is very kind of you to say!
thank you bot,gratitude,You are very welcome!
please bye,farewell,Goodbye! Have a wonderful day.
you are smart sir,compliment,Thank you! I appreciate the positive feedback.
useless buddy,insult,I apologize if I disappointed you. I am still learning.
listen cya,farewell,Goodbye! Have a wonderful day.
what is your name friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
can you explain bot,confusion,I apologize. Let me try to be clearer.
actually what can you do,capabilities,I can answer questions and chat with you.
bad bot actually,insult,I apologize if I disappointed you. I am still learning.
so help me please,capabilities,I can answer questions and chat with you.
hey good job,compliment,Thank you! I appreciate the positive feedback.
what do you mean actually,confusion,I apologize. Let me try to be clearer.
ok you are smart sir,compliment,Thank you! I appreciate the positive feedback.
please can you explain now,confusion,I apologize. Let me try to be clearer.
yo how do you work actually,capabilities,I can answer questions and chat with you.
well what is your name sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how is it going bot,wellbeing,I'm functioning perfectly. How can I help you?
yo i love you please,love,That is very kind of you to say!
ok you suck buddy,insult,I apologize if I disappointed you. I am still learning.
actually help me,capabilities,I can answer questions and chat with you.
who are you today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what do you mean please,confusion,I apologize. Let me try to be clearer.
actually bad bot friend,insult,I apologize if I disappointed you. I am still learning.
ok well done,compliment,Thank you! I appreciate the positive feedback.
listen what can you do bot,capabilities,I can answer questions and chat with you.
yo thank you,gratitude,You are very welcome!
you are amazing today,compliment,Thank you! I appreciate the positive feedback.
so you are smart,compliment,Thank you! I appreciate the positive feedback.
please how are things today,wellbeing,I'm functioning perfectly. How can I help you?
so hey,greeting,Hello! How can I help you today?
so you are smart please,compliment,Thank you! I appreciate the positive feedback.
ok bad bot,insult,I apologize if I disappointed you. I am still learning.
are you a bot mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
i have to go mam,farewell,Goodbye! Have a wonderful day.
umm thank you bot,gratitude,You are very welcome!
listen i dont understand,confusion,I apologize. Let me try to be clearer.
how are you bot,wellbeing,I'm functioning perfectly. How can I help you?
yo will you marry me sir,love,That is very kind of you to say!
ok hello bot,greeting,Hello! How can I help you today?
yo you are amazing mam,compliment,Thank you! I appreciate the positive feedback.
help me now,capabilities,I can answer questions and chat with you.
you are cute please,love,That is very kind of you to say!
what is your name actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
talk to you later mam,farewell,Goodbye! Have a wonderful day.
so you are smart,compliment,Thank you! I appreciate the positive feedback.
hey what can you do bot,capabilities,I can answer questions and chat with you.
yo hello,greeting,Hello! How can I help you today?
hi bot,greeting,Hello! How can I help you today?
please introduce yourself mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please you are smart actually,compliment,Thank you! I appreciate the positive feedback.
ok good night,farewell,Goodbye! Have a wonderful day.
can you explain actually,confusion,I apologize. Let me try to be clearer.
ok cya mam,farewell,Goodbye! Have a wonderful day.
well you are dumb,insult,I apologize if I disappointed you. I am still learning.
please introduce yourself now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hi there please,greeting,Hello! How can I help you today?
yo what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo goodbye bot,farewell,Goodbye! Have a wonderful day.
will you marry me actually,love,That is very kind of you to say!
yo help me bot,capabilities,I can answer questions and chat with you.
can you explain actually,confusion,I apologize. Let me try to be clearer.
greetings please,greeting,Hello! How can I help you today?
actually what can you do,capabilities,I can answer questions and chat with you.
listen i am confused,confusion,I apologize. Let me try to be clearer.
thx bot,gratitude,You are very welcome!
see you please,farewell,Goodbye! Have a wonderful day.
you are smart buddy,compliment,Thank you! I appreciate the positive feedback.
well help me,capabilities,I can answer questions and chat with you.
yo what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo you suck,insult,I apologize if I disappointed you. I am still learning.
yo good job now,compliment,Thank you! I appreciate the positive feedback.
please good job actually,compliment,Thank you! I appreciate the positive feedback.
please what are your features,capabilities,I can answer questions and chat with you.
talk to you later bot,farewell,Goodbye! Have a wonderful day.
umm how do you feel now,wellbeing,I'm functioning perfectly. How can I help you?
